locality name,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,price per sqft
Molarband Extension,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4587.0
Moti Nagar,28.5812919,77.1816034,3,Rail Station,Convenience Store,Museum,Fuel Station,Advertising Agency,Platform,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,19050.0
Mundka,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,3888.0
Munirka,28.554886,77.1710841,3,Playground,Steakhouse,Department Store,Furniture and Home Store,Sandwich Spot,Grocery Store,Pizzeria,Spa,Pharmacy,Indian Restaurant,17600.0
Najafgarh Road Industrial Area,28.63576,77.22445,3,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,29925.0
Narela,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4800.0
Nasirpur,28.6028727,77.1076284,1,Coffee Shop,Car Parts and Accessories,Advertising Agency,Playground,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,5987.0
Nawada,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5250.0
Neb Sarai,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4750.0
New Mustafabad,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5250.0
Nizamuddin West,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4444.0
Panchsheel Enclave,28.63576,77.22445,3,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,29017.0
Pandav Nagar,28.6500237,77.1536755,4,Indian Restaurant,Deli,Metro Station,Movie Theater,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,Park,7785.0
Paschim Vihar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,11250.0
Patparganj,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,12200.0
Pitampura,28.6968328,77.1424595,4,Indian Restaurant,Café,Mobile Phone Store,Hotel,Restaurant,Convenience Store,Car Parts and Accessories,Park,Performing Arts Venue,North Indian Restaurant,12500.0
Rajinder Nagar,28.6357855,77.1841395,3,Ice Cream Parlor,Park,Market,Music Store,Coffee Shop,Sandwich Spot,Advertising Agency,Moroccan Restaurant,Pharmacy,Performing Arts Venue,17629.0
Rajpur,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4540.0
Ranjeet Nagar,28.6361164,77.1677709,4,Electronics Store,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Venue,Music Store,4000.0
Rithala,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,5052.0
